Date,6_2,16_7,7_7,6_9,12_10,1_1,5_8,10_1,10_2,13_7,17_2,2_9,5_9,6_1,11_6,11_8,13_9,15_6,16_6,19_2
20240516,1,1,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1
20240519,0,0,1,2,2,0,2,1,0,2,0,1,2,0,0,0,1,0,0,0
20240521,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
20240523,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,2,1,0,1
20240526,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
20240528,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
20240530,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20240602,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,1,0,2
20240604,1,0,1,1,0,0,2,1,0,0,1,0,0,1,1,2,1,2,1,3
20240606,1,1,1,0,1,1,0,0,2,1,1,1,2,0,0,1,1,0,1,1
20240609,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,1,1,0,1,2
20240611,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1
20240613,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
20240616,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1
20240618,0,1,1,0,2,2,0,0,1,1,1,1,1,1,0,1,2,1,1,1
20240620,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1
20240623,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
20240625,1,0,1,0,0,0,1,2,0,1,0,1,1,1,1,1,0,0,1,0
20240627,2,1,2,0,1,0,1,0,1,0,0,0,1,0,1,2,1,0,0,0
20240630,1,0,0,1,0,0,1,2,0,0,0,0,0,1,2,0,0,1,1,0
20240702,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
20240704,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
20240707,1,1,0,0,0,1,2,1,0,0,0,1,2,1,1,1,3,0,1,0
20240709,1,0,0,0,1,2,1,0,0,0,1,1,0,0,2,0,1,1,1,0
20240711,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,1,1,1
20240714,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,0,1,1,0,0
20240716,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
20240718,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,0,0,0,1,2
20240721,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,1
20240723,1,3,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
20240725,0,1,0,0,0,0,0,1,0,1,0,2,2,1,0,0,0,1,2,2
20240728,0,2,1,1,1,2,1,0,1,1,1,2,1,1,0,2,0,2,0,0
20240730,0,2,1,1,2,1,2,2,1,1,2,1,1,0,2,0,0,2,1,0
